nm1374980	Zac Efron	{"0": "male"}
nm0350453	Jake Gyllenhaal	{"0": "male"}
nm0479471	Shia LaBeouf	{"0": "male"}
nm0908094	Paul Walker	{"0": "male"}
nm0000179	Jude Law	{"0": "male"}
nm0124930	Gerard Butler	{"0": "male"}
nm0005110	Ashton Kutcher	{"0": "male"}
nm0940362	Shailene Woodley	{"0": "female"}
nm0001557	Viggo Mortensen	{"0": "male"}
nm0000191	Ewan McGregor	{"0": "male"}
nm1500155	Robert Pattinson	{"0": "male"}
nm0000131	John Cusack	{"0": "male"}
nm0001618	Joaquin Phoenix	{"0": "male"}
nm0000443	Goldie Hawn	{"0": "female"}
nm0000101	Dan Aykroyd	{"0": "male"}
nm0000209	Tim Robbins	{"0": "male"}
nm0251986	Jesse Eisenberg	{"0": "male"}
nm0000212	Meg Ryan	{"0": "female"}
nm0000163	Dustin Hoffman	{"0": "male"}
nm0316079	Paul Giamatti	{"0": "male"}
nm0000867	Jason Bateman	{"0": "male"}
nm0000196	Mike Myers	{"0": "male"}
nm0000380	Robert Duvall	{"0": "male"}
nm1212722	Benedict Cumberbatch	{"0": "male"}
nm0749263	Mark Ruffalo	{"0": "male"}
nm0000221	Charlie Sheen	{"0": "male"}
nm0000130	Jamie Lee Curtis	{"0": "female"}
nm0000219	Steven Seagal	{"0": "male"}
nm0000576	Sean Penn	{"0": "male"}
nm0695435	Chris Pratt	{"0": "male"}
nm0000572	Sarah Jessica Parker	{"0": "female"}
nm0719637	Jeremy Renner	{"0": "male"}
nm0005109	Mila Kunis	{"0": "female"}
nm0000377	Richard Dreyfuss	{"0": "male"}
nm0001006	John Candy	{"0": "male"}
nm0000204	Natalie Portman	{"0": "female"}
nm0252961	Idris Elba	{"0": "male"}
nm0000193	Demi Moore	{"0": "female"}
nm0000228	Kevin Spacey	{"0": "male"}
nm0001190	David Prowse	{"0": "male"}
nm0005458	Jason Statham	{"0": "male"}
nm0010736	Amy Adams	{"0": "female"}
nm0000215	Susan Sarandon	{"0": "female"}
nm0000541	Bette Midler	{"0": "female"}
nm0000174	Val Kilmer	{"0": "male"}
nm1159180	Ed Helms	{"0": "male"}
nm1297015	Emma Stone	{"0": "female"}
nm0000409	Brendan Fraser	{"0": "male"}
nm0001132	Judi Dench	{"0": "female"}
nm0000668	Emma Thompson	{"0": "female"}
nm0000106	Drew Barrymore	{"0": "female"}
nm0914612	Emma Watson	{"0": "female"}
nm0000398	Sally Field	{"0": "female"}
nm0000608	Burt Reynolds	{"0": "male"}
nm0000332	Don Cheadle	{"0": "male"}
nm0000659	Barbra Streisand	{"0": "female"}
nm0001705	Rob Schneider	{"0": "male"}
nm0933940	Patrick Wilson	{"0": "male"}
nm0000474	Michael Keaton	{"0": "male"}
nm0330687	Joseph Gordon-Levitt	{"0": "male"}
nm0000102	Kevin Bacon	{"0": "male"}
nm0000701	Kate Winslet	{"0": "female"}
nm1242688	Josh Hutcherson	{"0": "male"}
nm0000401	Laurence Fishburne	{"0": "male"}
nm0000460	Jeremy Irons	{"0": "male"}
nm4043618	Tom Holland	{"0": "male"}
nm0517820	Lindsay Lohan	{"0": "female"}
nm0004950	Jennifer Garner	{"0": "female"}
nm0000178	Diane Lane	{"0": "female"}
nm0000369	Matt Dillon	{"0": "male"}
nm0001475	John Lithgow	{"0": "male"}
nm0000582	Joe Pesci	{"0": "male"}
nm0000421	Cuba Gooding Jr.	{"0": "male"}
nm0290556	James Franco	{"0": "male"}
nm0056187	Sacha Baron Cohen	{"0": "male"}
nm0331516	Ryan Gosling	{"0": "male"}
nm0000518	John Malkovich	{"0": "male"}
nm1567113	Jessica Chastain	{"0": "female"}
nm0005405	Seann William Scott	{"0": "male"}
nm0000389	Emilio Estevez	{"0": "male"}
nm0342488	Rupert Grint	{"0": "male"}
nm0001570	Edward Norton	{"0": "male"}
nm0005212	Ian McKellen	{"0": "male"}
nm0001173	Aaron Eckhart	{"0": "male"}
nm0000241	Jean-Claude Van Damme	{"0": "male"}
nm0000160	Ethan Hawke	{"0": "male"}
nm0000949	Cate Blanchett	{"0": "female"}
nm0000379	Kirsten Dunst	{"0": "female"}
nm0430107	Michael B. Jordan	{"0": "male"}
nm1940449	Andrew Garfield	{"0": "male"}
nm0000932	Halle Berry	{"0": "female"}
nm0000604	John C. Reilly	{"0": "male"}
nm0941777	Sam Worthington	{"0": "male"}
nm1519666	Eddie Redmayne	{"0": "male"}
nm0262635	Chris Evans	{"0": "male"}
nm0356021	Regina Hall	{"0": "female"}
nm0461136	Keira Knightley	{"0": "female"}
